krama,ngoko
dados wancinipun jempo boten kacingkrangan,wis wayahe turu ora kurang
wangsul bangsa kula jawi pancen warni ngejor hawa gesangipun kaupamekna tiyang nglangi boten saged dumugi ing pinggir,bali wong jawa iku emang akeh werna werna urip iku kaya wong nglangi ora iso tekan pinggir
sumangga kagaliha manawi anakipukathahn nanging jaler sadaya utawi estri sadaya lajeng nyelir utawi rabi malih sengadinipun angupados anak estri utawi ngupados anak jaler,ayo diusahake yen pengen anak nanging lanang kabeh utawa wadon kabeh terus nek wis nikah maneh usahake anak wadon utawa anak lanang
manawi bojonipun sampun boten gadhah anak malih api api kepengin dolanan lare alit inggih lajeng ngenemaken,yen bojone wis ora duwe anak maneh terus kepengen dolanan anak cilik ya wis ngeneki
kathah tiyang jaler ingkang sampun umur seket sawidak taun mendhet lare umur wolulas taun langkung malih bangsa luhur jawi,akeh wong lanang umur taun njupuk bocah umur taun malah bangsa jawa ninggi
tiyang ingkang makaten punika kabasakaken namung anjurungi hawa napsu istingarah tiyang umur sawidak taun enggal badhe santun jaman dados sampun sumerep manawi boten badhe saged ngagengaken anakipun sampun sumerep manawi anakipun ingkang kantun badhe manggih sangsara tuladhanipun boten kirang,wong kaya ngono iku mung nuruti hawa napsu isine wong umur enem puluh taun lagi arep sopan jaman wis ngerti yen ora bakal bisa nggedhekake anake wis ngerti yen anake sing isih bakal susah contohe ora kurang
manawi kula gagas gagas tiyang jawi punika dados budhaking hawa napsunipun,yen aku mikir wong jawa kuwi dadi budheg hawa nepsu
kreket garengsenging manah dhateng wanita sami kalihan bangsa,rungu rungu atiku kangen wong wadon kabeh bangsa
arab angungkuli cina nanging pamersudi dhateng ngupados yatra tuwin simpen yatra sangandhaping sukunipun bangsa bangsa punika letipun satus tirisan,arab ngalahke cina ning tujuan golek rejeki lan nyimpen rejeki iku padha tipis kabeh
andhap sedheng luhur tiyang jawi meh racak kemawon kasugihanipun awujud anak sepen rajabrana,wong jowo nek sugih meh padha podo sugihe anak siji dadi raja
manawi bangsa priyantun ingkang balanja sakedhik gadhah sambutan punika limrah wangsul ingkang bayaripun sagrobag inggih tharethekan punika ingkang anggumunaken,yen wong sugih belanja sithik malah dijogo iku biasa sing aneh yaiku sing mbayar murah banget
pinten kathahipun tiyang jawi ingkang griya gedhong bekakas sae sawanci wanci ketamuan boten gugup panggenan resik segahan pantes,akeh wong jawa sing omah gedhene apik saben ketemu tamu ora grogi papanene resik lan pantes
pundi tiyang jawi ingkang gadhah montor mulya mulyanipun dados kusiripun,wong jowo sing duwe mobil bagus banget dadi sopirnya
manawi gadhah tumbas cicilan dereng pundhat montor sampun risak,nek tuku kredit durung lunas motormu wis rusak
saben wonten wertos kacilakan ingkang kalindhes tiyang jawi bangsa sanesipun meh boten nate kalindhes,yen ana wong kecelakaan sing ketabrak wong jawa bangsa liyane meh ora tau ketabrak
gesangipun tiyang jawi momong anak manawi pejah tilar anak alit,urip wong jowo ngopeni anak yen mati ninggal anak cilik
manawi anak yatim punika estri kelangkung langkung nalangsanipun bilih bangsa luhur nalika ingkang rama taksih sugeng ajinipun kaupamekaken,yen anak yatim wadon iku luwih angel nasibne yen bangsane bagus nalika bapakne isih urip ajine dianggep penting
satus rupiyah sasedanipun ingkang rama namung sakethip,sewu rupiah duit bapak mung sithik
kala rumiyin wonten bangsa luhur putranipun kathah sanget,biyen ono bangsa ningrat anake akeh banget
putra estri meh sajinah,anak wadon meh sugih
nalika ingkang rama taksih jumeneng putra putra wau boten nyaruwe dhateng bangsa madya kemawon sanajan ingkang sampun kadrajadan manawi priyantun alit kelilan angengakaken korining kreta ingkang dipun titihi kemawon rumaosipun kedhawahan daru langkung malih manawi dipun ngandikani,waktu bapak isih urip anak anak ora gelem melu wong akeh thok senajan sing wis sugih nek wong cilik salah ngerti gedhene roda sing ditumpangke bae wis rumangsa salah banget apalagi nek diomongi
wusana putra estri dereng krama sadaya ingkang rama kondur ing jaman kalanggengan tilaran ingkang warni yatra boten wonten namung wujud barang kalelangaken pepajenganipun taksih dereng cekap kangge nyauri sambutanipun,akhire anak lanang lan wadon durung omah kabeh bapake bali jaman mbiyen ninggalake warisan macem macem ora ana mung barang barang sing didol barang barange isih kurang kanggo nyukupi kebutuhane
sarehning prawan prawan punika kuwatos bilih badhe luwas ing sampiran mila lajeng nampeni panglamaripun tiyang bangsa alit namung gadhah pangkat,merga para prawan wedi yen bakal ora oleh bojo banjur nampa lamaran wong cilik sing mung nduwe pangkat
malah wartosipun wontening rembag jajodhoan punika boten saking jaleripun,malah pentinge rembugan iki ora saka wong lanang
saupami ingkang rama taksih sugeng sanajan dipun krapea bangsa alit boten badhe kamipurun nyuwun putranipun,yen bapak isih urip senajan dikerap bangsa cilik ora bakal tak gawa bojone
para ageng ingkang anjurungi karsa temahan asor bilih anak estri semah bangsa alit kemawon boten sanget nistha wangsul ingkang nglampahi dados gundhik cina punika punapa pantes,para gedhe sing nyengkuyung niat ala yen anak wadon bangsa cilik wae ora banget hina bali sing nglakoni dadi gundik cina kuwi apa pantas
mangka kathah ingkang makaten raden ajeng raden ajeng ingkang kangge lelangen bangsa yatra boten langka,akhire akeh sing kaya ngono rajeng rajeng sing dadi panutan bangsa akeh banget
boten sanes sababipun para ageng boten anggalih manawi tiyang kaluwen sarta kewudan supe dhateng kautamen,ora liya amarga para bangsawan ora mikir yen wong cilik lan kurang beruntung kudu uga apik
tiyang jawi kathah ingkang ngaken turunipun raden janaka manut cariyosipun kyai dhalang raden janaka garwanipun tanpa wicalan ing pundi pundi wonten,wong jowo akeh sing ngaku turune raden janaka miturut critane kyai dhalang raden janaka karo bojone ora pisah ning endi wae
punika ingkang katiru bangsa jawi nanging supe dhateng agenging tekadipun raden janaka kados punapa prihatosipun nalika kawon perangipun kalihan prabu bomantara kadospundi rekaosing saliranipun salamining mintaraga hawanipun sadaya dipun pejahi,iku sing ditiru wong jawa nanging kurang apik kaya raden janaka kepriye susah atine nalika kalah perang karo prabu bomantara kepriye critane kabeh dipethuki
manawi maos serat damarwulan lare jawi ingkang manjing ing sungsumipun namung sapuluh ingkang nyariyosaken anjasmara putraning patih amboyongi satriya ing paluhamba,nek maca crita damarwulan bocah jawa sing ngerti banget mung sepuluh sing crita anjasmara anak patih amboyong satriya ing paluhamba
kabekta dhateng dalemipun,digawa ning omah
para maos boten enget dhateng nalangsanipun raden damarwulan nalika kapurih ngaritaken kapal pinten pinten tur ngangge arit timah,kowe ora ngerti marang pati raden damarwulan nalika arep ngarit kapal akeh nganggo arit timah
boten sami gadhah kreket badhe mirib kemawon dhateng kekahing watekipun,ora kabeh duwe watak padha karo sliramu
kula sampun sepuh sampun apeputra kathah tepa tuladha ingkang kula sumerepi sinten tiyang ingkang badhe gadhah turun mulya kedah ageng tirakatipun,aku wis tuwa wis ana anak akeh conto sing tak kenal sapa wae sing arep duwe anak bagus kudu gedhe tirakat e
jaman samangke tirakatipun inggih namung ngeker hawa ingkang rekaos piyambak tumrap bangsa jawi inggih hawa dhateng wanita sinten tiyang ingkang wekel ajrih dhateng lampah jina narimah bojo satunggal punika manawi tiyang jawi sampun kaanggep unggul sanget amargi tiyang ingkang makaten gesangipun boten kendhat kendhat anenuwun supados badanipun wilujenga turunipun amanggiha kawibawan,jaman saiki tirakat mung ngeker hawa nafsu dhewe kang angel banget kanggo wong jawa yaiku hawa nafsu marang wanita sapa kang wani wedi karo zina ora duwe bojo loro yen wong jawa wis dianggep unggul banget merga wong kaya ngono urip ora susah susah matur supaya badane sehat turune entuk kekuasaan
sarehning gusti allah boten cidra sapa temen tinemenan mila panuwun ingkang makaten inggih kadumugen,amarga gusti allah ora ngapusi sing bener bener mulane pangapunten kaya ngono iku diijini
manawi nitik ingkang katingal kemawon tiyang ingkang makaten punika pamredinipun dhateng anak kenceng anakipun,yen ngerti sing ketok wae wong kaya ngono iku ngopeni anakke banget
nurut sabab sumerep lampahing bapakipun sae punapa rehing bapa anak angestokaken wekasan manggih kamulyan,ngerti sebab tindak tanduk bapakmu apik mergo bapakmu anakmu ngestokake akhire entuk kamulyan
watawis sawidak taun kapengker wonten tiyang jawi bangsa sedheng kemawon wiwit magang dumugi sepuh namung rabi sapisan boten nate nolih dhateng wanita liyan,kira kira lima puluh taun kepungkur ana wong jawa biasa bae wiwit magang nganti tuwa mung rabi sepisan ora tau nglirik wanita liya
salaminipun cepeng damel sungkem sanget dhateng kuwajibanipun,takokno wae tanggung jawe ngono
manawi nedha sapantesipun tilemipun namung sakedhap sakedhap supados sampun ngantos ngantuk manawi wanci dalu ngerok kapal sarta nacahaken tedhanipun utawi dhudhuk dhudhuk ing pakebonan,yen mangan cukup wae sak njaluk njaluk supaya ora ngantuk yen bengi mlayu kapal lan dhahar utawa lungguh lungguh ing kebon
saking palimarmaning pangeran tiyang punika wekasan angsal darajad luhur sarta meningi anak anakipun sami wekel sarta kangge sanget ing pasuwitanipun dhateng nagari,amarga kekarepane gusti wong iku pungkasane entuk derajat dhuwur lan anak anake kabeh sugih lan urip bebarengan ing kratone
lelampahanipun beda kalihan paman kula ingkang adedunung tunggil sanagari,perjalanane beda karo omku sing manggon tunggal desa
nalika paman kula punika bojonipun jaka rara taksih gesang saking ajrihipun boten nate nyleweng nanging sareng semahipun ajal lajeng nyaur kaul mendhet selir sakawan sareng rehning,waktu pakdeku bojone jaka rara isih urip saka cilik ora tau nyimpang ning pas wis ajale terus nglakoni janji njupuk garwa loro karo rehne
umur sawatawis lungse pandugi kula boten kuwagang ngladosi tiyang sakawan punika,umurku wis suwe ora kuat ngladeni wong papat iku
sareng para selir boten kadumugen kajengipun lajeng sami beka nedha yatra kathah pangangge ingkang sae sae minangka lelintuning kasenengan,bareng para selir ora dijak terus pada mangan wisata akeh panganane sing enak enak minangka wujud rasa seneng
paman kula ngantos brindhil,om kula nganti brondong
sareng yatranipun telas seliripun sami ngupados seneng piyambak piyambak manawi medal anakipun inggih nama anakipun paman kula amargi selir selir punika dereng kapegat,bareng lelane wis rampung kabeh padha nggoleki seneng senenge dhewe dhewe nek metu anake ya jenenge anak omku jalaran bojone durung dipecat
dados paman kula punika dhapur memelas dhumawah ing kemlararatan wewah wewah kawirangan,ojo kakehan nguwong uwongke kahanan susah
sampun malih paman kula namung bangsa sedheng kemawon sanajan bangsa gung aluhur manawi tanpa sebut inggih makaten kadadosanipun,wis malih omonganku mung wong biasa wae senajan wong gedhe luhur menawi tanpa sebut ya koyo ngono jadine
kados tembanganipun taledhek kembang jagung awak rusak ati bingung,kaya tembang taledhek kembang jagung awak rusak ati bingung
limrahipun tiyang punika ngeman dhateng yatra sakedhik manawi wiwit gadhah simpenan,wong iku lungguh menyang lelampahan sethithik menawa wis duwe tabungan
sarehning tiyang jawi meh sadaya pamedalipun boten nate nyekapi kabetahanipun mila dhateng yatra boten ngajeni,wong jowo meh kabeh urip e ora tau cukup mulane nek le nglepas ora nganggep penting
manawi taksih gadhah yatra kedah telas warni warni purugipun terkadhang,nek isih ana sing kurang tak jelasna
barang boten prelu inggih katumbas mangka panumbasipun dhateng bangsa manca dados kempaling yatranipun tiyang jawi dhateng bangsa manca wau temahan tiyang jawi kawon ongkogipun,ora perlu kok dituku jalaran tuku barang saka bangsa liya malah dadi alangan lelakon wong jowo marang bangsa liya malah wong jowo rugi ongkos
punapa malih manawi sampun gadhah sambutan dhateng bangsa manca punika andhap asoripun angudubilahi pamrihipun manawi boten nicil sampun ngantos dipun prekawisaken,apa maneh nek wis duwe sambutan marang bangsa manca iku andhap asor ngudubilahi pamrihe nek ora oleh aja kok gawe masalah
bangsa ingkang tampi bayar manawi mentas tampi blanja badhe kadamel nyauri sambutanipun taksih kirang lajeng kangge ngabotohan,wong sing nampa bayaran yen lagi nampa barang belanja bakal gawe balesan salam e isih kurang terus kanggo ngebotoh
niyatipun inggih boten kalentu badhe menang nanging ingkang kathah kawon ngantos telas dados mindhak sangsaranipun,tujuan e ya ora mesti menang tapi sing akeh kalah nganti telas dadi tambah susah e
ingkang begja saged menang wonten ingkang ngrembag dhateng sambutan tuwin kabetahanipun sanes,sing beruntung bisa menang sing ngomong soal sambutan lan kebahagiaan liyane
wonten ugi ingkang eman sanget dhateng yatranipun dipun kandhut kemawon badhe kaindhakaken malih sarana kertu ananging limrahipun yatra lajeng telas,ana uga sing ati ati banget marang lelane dijupuk wae arep digunakne maneh nganggo kertu nanging biasane lali
ingkang kaping tiga ing sarehning tiyang ingkang wayuh namung,ketiga amarga wong sing mung
ngrembag kabetahanipun piyambak kemawon boten keconggah kadospundi badhe mikir dhateng prakawis sanes sanesipun,ngomong kabutuhan dhewe wae ora bisa kepenak kepingin mikir masalah liyane
tiyang jawi manawi kaanggep remeh dening bangsa manca sakit manahipun nanging sakiting manah wau boten pisan dados pangasah namung muring muring bibar muring lajeng nglalu,wong jowo yen dianggep remeh bangsa manca sakit ati tapi sakit ati iku ora dadi pangasah mung muring muring muring terus lali
saleresipun manawi kasepelekaken punika lajeng metani awakipun piyambak supados sumerepa punapa cacadipun cacadipun wau kaudia icalipun lajeng amarsudi sageda nututi kagunanipun bangsa ingkang moncol,bener yen di tinggal dhewe banjur tani awak dhewe supaya ngerti apa sebab sebabe ilang terus usaha bisa ngejar kemajuan bangsa sing maju
manawi saged makaten temtu kemawon tiyang jawi badhe mindhak ajinipun boten kaanggep asor ing salaminipun,nek isa ngono mesthi wae wong jowo bakal tambah aji ra dianggep murah saklawase
kados cariyos ing ngandhap punika,kaya crita ngisor iki
ing satunggiling nagari panggenan tiyang among dagang wonten tiyang mlarat adedunung sandhing kalihan tiyang sugih,ana desa ana wong dagang ana wong mlarat cedhak karo wong sugih
samangsa mangsa tiyang sugih wau gadhah damel sadherek utawi pitepanganipun ingkang tebih dipun ulemi namung tangga pun miskin sanajan anjathok dipun langkungi,jaman biyen wong sugih kuwi duwe kanca utawa dulure sing adoh dijogo mung tangga sing mlarat senajan cedhak dilirwakke
pun miskin sanget ing isinipun tuwin benter lajeng nilar bale,aku rungokno banget isine terus mlayu ninggal omah
pakaranganipun kesah dhateng ing ngamanca pratignya boten badhe wangsul manawi dereng sami kalihan tangganipun sugih punika,omah e arep menyang ngamanca janji ora bakal bali yen durung bebarengan karo tangga e sing sugih iku
jalaran pawitanipun sakedhik prasasat namung bau suku kemawon wiwitipun daganganipun remeh sanget nanging saking sregep tuwin gemi lami lami dados juragan ageng daganganipun awujud sata temahan saged gadhah yatra kalih leksa rupiyah rumaos sampun sami kalihan tangganipun sugih wau,merga wiwitane mung sakdikit barangane mung bau suku wae wiwitane dagangane murah banget nanging amarga sregep lan terus terusan dadi juragan gedhe dagangane macem macem malah bisa duwe dhuwit rong ewu rupiah rasan rabi karo tangga tanggane sing sugih kui
